,Admissions,Temperature
1,58,80.45671299
2,81,94.54324105
3,97,100.6966363
4,50,85.63466465
5,72,86.41121719
6,29,52.43039745
7,49,82.40384399
8,83,88.52812817
9,51,77.49700471
10,32,52.3900703
11,61,77.51605675
12,73,90.29482273
13,39,68.79732955
14,51,76.2324414
15,31,50.86686299
16,73,83.27236954
17,65,77.70811006
18,53,84.28822106
19,75,87.05844347
20,41,68.04926628
21,50,77.09996014
22,71,88.40748555
23,86,91.52091169
24,32,58.83404163
25,108,102.1195073
26,36,66.33437466
27,87,93.87370774
28,38,72.90969189
29,21,49.37274157
30,29,55.41814521
31,32,52.10644576
32,28,52.37393446
33,71,90.17203247
34,42,78.46737744
35,37,65.57276758
36,69,88.31532404
37,97,96.30315089
38,45,80.57170851
39,24,53.90074312
40,68,86.38828682
41,59,79.39617048
42,48,69.61812039
43,39,72.42431179
44,27,62.35962898
45,53,81.81133311
46,46,72.6987916
47,105,100.2014368
48,40,76.98760211
49,48,69.55213864
50,17,41.53614802
51,55,76.43995107
52,65,81.75819271
53,49,78.35662746
54,72,83.11359724
55,61,85.85595968
56,52,82.03830198
57,77,91.88679253
58,82,89.71577855
59,48,84.59225157
60,34,63.60687884
61,37,70.02296801
62,62,79.24279702
63,54,87.48073491
64,54,79.75577725
65,36,60.78081077
66,56,90.46143439
67,28,57.76526009
68,51,78.22331563
69,42,70.25195779
70,49,70.858707
71,46,81.12557479
72,32,59.89136431
73,40,66.39487962
74,38,65.64306371
75,62,75.4470602
76,51,78.15735992
77,79,99.36522665
78,72,88.89000671
79,34,66.49108882
80,25,48.63067768
81,35,68.34456316
82,81,91.76889339
83,71,87.967986
84,88,99.04512304
85,45,72.32254388
86,51,81.02105647
87,43,68.546285
88,46,69.10162089
89,90,95.27539193
90,53,89.78268356
91,61,79.38174015
92,25,63.12906047
93,28,56.3770124
94,91,101.0661452
95,58,83.76995267
96,34,70.89044975
97,54,77.51822777
98,56,74.00718509
99,68,89.17353921
100,109,104.444198
101,43,58.40642986
102,75,90.74445793
103,27,50.86648947
104,74,90.595369
105,52,80.63730355
106,51,70.48352286
107,51,75.58015339
108,95,100.9047809
109,57,80.09112229
110,54,79.93495565
111,31,64.23086905
112,40,61.8194247
113,22,49.74738509
114,33,73.70022654
115,35,55.61398418
116,50,71.83769307
117,43,73.39815278
118,61,91.81502233
119,23,56.26502692
120,40,68.5645034
121,55,76.92952369
122,34,63.35607131
123,45,69.63452701
124,78,88.37503366
125,32,61.55411027
126,25,53.24298706
127,56,73.94953817
128,100,110.7756824
129,43,69.13415607
130,66,85.88777246
131,47,65.51999661
132,29,62.16997373
133,50,67.19922334
134,40,72.42949971
135,42,72.96582319
136,48,70.06640055
137,74,93.70357865
138,68,85.32863871
139,54,74.59316118
140,96,104.4810218
141,48,86.32047961
142,81,94.69223909
143,108,102.3048592
144,44,70.77283891
145,35,76.5227379
146,39,68.47282219
147,72,91.48161703
148,30,54.89639738
149,82,94.68845425
150,47,75.49305777
151,45,66.62340636
152,70,90.79000605
153,33,67.76506054
154,61,80.63332642
155,36,62.28174297
156,52,79.72862189
157,69,89.98552502
158,38,61.07820026
159,85,100.5537654
160,70,77.67814161
161,64,88.42438094
162,45,82.98249152
163,63,85.08584919
164,44,63.69672347
165,75,91.50363597
166,53,83.62099845
167,79,89.17889513
168,51,75.03887932
169,76,88.31286533
170,67,91.8555436
171,53,81.56220431
172,52,81.76238035
173,79,92.42601402
174,35,67.0100371
175,84,96.37663566
176,62,82.68302718
177,58,79.71253119
178,35,54.38466774
179,32,52.57905607
180,33,57.5730568
181,49,76.91714563
182,60,82.51829405
183,38,63.14340908
184,46,80.26349358
185,18,61.72238818
186,82,100.6582659
187,84,89.72727879
188,30,62.29199412
189,41,76.27025768
190,32,63.51729681
191,56,77.93751133
192,45,76.27267883
193,72,91.5099324
194,65,90.33927309
195,54,86.36805787
196,37,67.26456012
197,48,70.6586645
198,95,104.8271452
199,41,63.36188998
200,50,75.65361591
